,HBOS
KDD21/111_UCR_Anomaly_3sddb40_35000_46600_46900.out,0.4930423635595594
KDD21/032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033.out,0.8840695860529386
KDD21/119_UCR_Anomaly_ECG1_10000_11800_12100.out,0.9214582982592008
KDD21/214_UCR_Anomaly_STAFFIIIDatabase_34211_125720_126370.out,0.6345360329897798
KDD21/213_UCR_Anomaly_STAFFIIIDatabase_33211_126920_127370.out,0.6564573816711865
KDD21/056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211.out,0.5794240817179581
KDD21/085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874.out,0.6926752550189228
KDD21/142_UCR_Anomaly_InternalBleeding6_1500_3474_3629.out,0.8954981543465355
KDD21/022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.out,0.7933311839584353
KDD21/094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.out,0.4819085100472266
KDD21/239_UCR_Anomaly_taichidbS0715Master_190037_593450_593514.out,0.9773276811437586
KDD21/077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801.out,0.8612806285192669
KDD21/175_UCR_Anomaly_insectEPG3_5200_7000_7050.out,0.965194531014376
KDD21/241_UCR_Anomaly_taichidbS0715Master_250000_837400_839100.out,0.4711173084449871
KDD21/155_UCR_Anomaly_PowerDemand4_18000_24005_24077.out,0.4703380724317324
KDD21/035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.out,0.3647834770530486
KDD21/136_UCR_Anomaly_InternalBleeding17_1600_3198_3309.out,0.1913042576957032
KDD21/076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880.out,0.5793123822234637
KDD21/147_UCR_Anomaly_Lab2Cmac011215EPG3_5000_16390_16420.out,0.9996473812627428
KDD21/200_UCR_Anomaly_tiltAPB4_20000_67995_67996.out,0.7485136602629708
KDD21/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.out,0.774050722907569
KDD21/209_UCR_Anomaly_Fantasia_19000_26970_27270.out,0.3291240544244393
KDD21/198_UCR_Anomaly_tiltAPB2_50000_124159_124985.out,0.2231857936207234
KDD21/144_UCR_Anomaly_InternalBleeding9_4200_6599_6681.out,0.5974861740394163
KDD21/238_UCR_Anomaly_mit14157longtermecg_21311_72600_72780.out,0.6024724777398858
KDD21/083_UCR_Anomaly_DISTORTEDresperation9_38000_143411_143511.out,0.6925501157009528
