,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63
2020-01-13.out.0,0.0,1.4719275,1.4719275,1.5032896,1.5660138,1.5660138,1.4405655,1.5973759,1.5346517,1.4719275,1.5973759,1.5032896,1.4719275,1.5032896,1.5346517,1.628738,1.5973759,1.5032896,1.5660138,1.5660138,1.5032896,1.5973759,1.5346517,1.6601001,1.5346517,1.5973759,1.6601001,1.5346517,1.5346517,1.5346517,1.6601001,1.5346517,1.6601001,1.5346517,1.628738,1.5660138,1.5660138,1.5660138,1.5660138,1.628738,1.5973759,1.5973759,1.7228243,1.5973759,1.6601001,1.5660138,1.5660138,1.5660138,1.5660138,1.6601001,1.5660138,1.5346517,1.5346517,1.5973759,1.628738,1.6601001,1.5346517,1.5032896,1.5032896,1.5660138,1.5660138,1.5660138,1.628738,1.5973759,1.5660138
2020-01-13.out.1,0.0,1.5660138,1.5660138,1.4719275,1.5346517,1.628738,1.5346517,1.5973759,1.5346517,1.4719275,1.5973759,1.5346517,1.5973759,1.5660138,1.5032896,1.628738,1.5346517,1.5973759,1.5346517,1.5660138,1.5973759,1.5032896,1.5660138,1.4719275,1.628738,1.5032896,1.5346517,1.5346517,1.4405655,1.5032896,1.628738,1.5973759,1.5973759,1.5032896,1.5032896,1.5346517,1.5346517,1.4405655,1.628738,1.5346517,1.4719275,1.3778413,1.5032896,1.5032896,1.5660138,1.628738,1.628738,1.5973759,1.5660138,1.5973759,1.5032896,1.5032896,1.5660138,1.5346517,1.5973759,1.5973759,1.5032896,1.6914622,1.5032896,1.6601001,1.5973759,1.4719275,1.5660138,1.5032896,1.5346517
2020-01-13.out.2,0.0,1.5660138,1.5346517,1.5660138,1.5346517,1.628738,1.5032896,1.6601001,1.5973759,1.5660138,1.5660138,1.628738,1.5660138,1.5973759,1.5973759,1.5660138,1.5973759,1.5973759,1.5346517,1.4719275,1.6601001,1.5032896,1.1583066,1.7855485,1.5660138,1.5660138,1.5973759,1.8169106,1.5660138,1.3778413,1.6914622,1.7228243,1.6601001,1.5973759,1.5973759,1.628738,1.5973759,1.6601001,1.5973759,1.5660138,1.628738,1.5973759,1.628738,1.5973759,1.6914622,1.628738,1.6914622,1.5660138,1.628738,1.5660138,1.5660138,1.628738,1.5346517,1.6601001,1.5973759,1.5973759,1.5973759,1.6914622,1.5660138,1.7541864,1.5973759,1.5660138,1.5660138,1.5660138,1.5346517
2020-01-13.out.3,0.0,1.5660138,1.5032896,1.5346517,1.5346517,1.5346517,1.4719275,1.628738,1.5032896,1.5973759,1.628738,1.5032896,1.4719275,1.5973759,1.4719275,1.5973759,1.5032896,1.5660138,1.5032896,1.5973759,1.5346517,1.628738,1.5973759,1.628738,1.5660138,1.5973759,1.5346517,1.5346517,1.628738,1.5032896,1.5032896,1.5346517,1.5346517,1.5346517,1.5346517,1.5346517,1.5973759,1.5346517,1.5032896,1.5346517,1.5032896,1.4092034,1.5660138,1.5346517,1.5032896,1.5973759,1.5973759,1.5346517,1.3778413,1.5660138,1.5660138,1.5346517,1.4719275,1.5973759,1.4405655,1.5346517,1.5032896,1.5660138,1.4719275,1.5660138,1.4405655,1.5032896,1.628738,1.4719275,1.5346517
2020-01-13.out.4,0.0,1.5973759,1.5973759,1.4719275,1.5973759,1.5346517,1.5660138,1.5973759,1.5346517,1.5032896,1.5032896,1.5660138,1.4719275,1.4719275,1.5660138,1.5973759,1.4405655,1.5660138,1.4719275,1.5032896,1.4719275,1.5032896,1.5973759,1.5346517,1.4405655,1.5346517,1.5973759,1.5973759,1.6601001,1.5346517,1.4719275,1.4719275,1.5032896,1.5032896,1.5660138,1.5032896,1.628738,1.5973759,1.5346517,1.5346517,1.5032896,1.5973759,1.5346517,1.5032896,1.5660138,1.5032896,1.4719275,1.5973759,1.5660138,1.5973759,1.4719275,1.5973759,1.5660138,1.5660138,1.5973759,1.5660138,1.4405655,1.5032896,1.5346517,1.5346517,1.5032896,1.5660138,1.5346517,1.5346517,1.5973759
2020-01-13.out.5,0.0,1.5660138,1.5660138,1.5032896,1.5660138,1.5346517,1.4719275,1.5346517,1.4719275,1.5346517,1.5346517,1.4719275,1.5032896,1.5660138,1.5032896,1.5660138,1.5973759,1.5346517,1.5032896,1.5660138,1.5660138,1.5660138,1.4405655,1.5032896,1.4719275,1.5660138,1.5660138,1.4719275,1.4719275,1.4405655,1.5032896,1.5973759,1.5660138,1.5032896,1.4719275,1.5032896,1.4719275,1.5346517,1.5032896,1.5032896,1.5032896,1.4405655,1.4092034,1.4405655,1.4719275,1.5346517,1.5346517,1.3464792,1.5032896,1.3464792,1.4092034,1.5346517,1.2523929,1.3778413,1.5346517,1.5032896,1.5346517,1.4405655,1.5032896,1.3778413,1.4719275,1.3464792,1.5346517,1.5032896,1.4719275
2020-01-13.out.6,0.0,1.5346517,1.628738,1.5973759,1.4092034,1.5660138,1.4092034,1.5346517,1.5346517,1.4092034,1.4405655,1.5032896,1.5032896,1.5346517,1.4405655,1.4092034,1.4092034,1.3151171,1.4405655,1.4405655,1.5973759,1.5973759,1.5346517,1.5660138,1.5346517,1.5032896,1.5973759,1.4405655,1.5032896,1.5032896,1.5032896,1.4719275,1.5032896,1.5346517,1.4719275,1.5660138,1.4719275,1.5346517,1.5032896,1.4719275,1.5346517,1.5346517,1.4405655,1.4092034,1.5346517,1.5032896,1.5346517,1.4719275,1.5346517,1.4092034,1.4405655,1.3778413,1.6601001,1.628738,1.6601001,1.5032896,1.7855485,1.5660138,1.5973759,1.5660138,1.5346517,1.5346517,1.5973759,1.5032896,1.5032896
2020-01-13.out.7,0.0,1.5973759,1.5346517,1.6601001,1.5973759,1.5660138,1.5973759,1.5660138,1.5973759,1.5660138,1.5660138,1.5032896,1.5032896,1.5660138,1.5346517,1.5346517,1.5032896,1.5973759,1.5660138,1.628738,1.4405655,1.5973759,1.5660138,1.4092034,1.5973759,1.628738,1.628738,1.5973759,1.6601001,1.5346517,1.6601001,1.5346517,1.5346517,1.5973759,1.5346517,1.5660138,1.5660138,1.5660138,1.5973759,1.5973759,1.5032896,1.5346517,1.5032896,1.5032896,1.5660138,1.628738,1.5346517,1.4719275,1.5032896,1.5973759,1.5973759,1.5660138,1.5660138,1.5973759,1.5346517,1.4719275,1.5346517,1.4719275,1.5973759,1.5973759,1.5660138,1.4405655,1.4719275,1.5346517,1.5660138
2020-01-13.out.8,0.0,1.5032896,1.5032896,1.5660138,1.5032896,1.5973759,1.5032896,1.5660138,1.5032896,1.5346517,1.5032896,1.5346517,1.5032896,1.5346517,1.5973759,1.5346517,1.5032896,1.4092034,1.5346517,1.5346517,1.5346517,1.5973759,1.5973759,1.4092034,1.5973759,1.628738,1.4405655,1.4092034,1.4405655,1.5973759,1.5346517,1.5346517,1.5032896,1.5346517,1.5660138,1.5346517,1.5973759,1.5973759,1.5973759,1.5346517,1.5660138,1.5032896,1.4719275,1.4719275,1.4719275,1.5032896,1.4719275,1.5032896,1.4719275,1.5346517,1.4092034,1.4405655,1.628738,1.628738,1.5660138,1.4719275,1.5346517,1.5032896,1.4719275,1.5032896,1.4405655,1.5032896,1.5346517,1.5346517,1.5032896
2020-01-13.out.9,0.0,1.5660138,1.5032896,1.5032896,1.4405655,1.4719275,1.5346517,1.5032896,1.5032896,1.4719275,1.5032896,1.5660138,1.4092034,1.5346517,1.4405655,1.5346517,1.3778413,1.4092034,1.5346517,1.5032896,1.7228243,1.4405655,1.4719275,1.5346517,1.4405655,1.5032896,1.4405655,1.5346517,1.5346517,1.5660138,1.5032896,1.5346517,1.5032896,1.4092034,1.5032896,1.5660138,1.5032896,1.5032896,1.4719275,1.5032896,1.5346517,1.5973759,1.628738,1.4405655,1.5032896,1.5032896,1.3778413,1.5032896,1.5032896,1.5032896,1.4719275,1.4405655,1.4719275,1.4719275,1.4719275,1.5032896,1.628738,1.5346517,1.5346517,1.5973759,1.5032896,1.4405655,1.4719275,1.5346517,1.5346517
