,OCSVM
KDD21/111_UCR_Anomaly_3sddb40_35000_46600_46900.out,0.0349334579689414
KDD21/032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033.out,0.4747431788527986
KDD21/119_UCR_Anomaly_ECG1_10000_11800_12100.out,0.1222289751619021
KDD21/214_UCR_Anomaly_STAFFIIIDatabase_34211_125720_126370.out,0.6029901399534457
KDD21/213_UCR_Anomaly_STAFFIIIDatabase_33211_126920_127370.out,0.690623433524695
KDD21/056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211.out,0.3242103819426302
KDD21/085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874.out,0.9894879570916564
KDD21/142_UCR_Anomaly_InternalBleeding6_1500_3474_3629.out,0.9511289031913888
KDD21/022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.out,0.5893578837597132
KDD21/094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.out,0.5080257431243633
KDD21/239_UCR_Anomaly_taichidbS0715Master_190037_593450_593514.out,0.0813134781618133
KDD21/077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801.out,0.9226299756920584
KDD21/175_UCR_Anomaly_insectEPG3_5200_7000_7050.out,0.0366623102442947
KDD21/241_UCR_Anomaly_taichidbS0715Master_250000_837400_839100.out,0.3769128459978902
KDD21/155_UCR_Anomaly_PowerDemand4_18000_24005_24077.out,0.0824295182381792
KDD21/035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.out,0.5228650267682367
KDD21/136_UCR_Anomaly_InternalBleeding17_1600_3198_3309.out,0.0130178229122462
KDD21/076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880.out,0.6936813645196318
KDD21/147_UCR_Anomaly_Lab2Cmac011215EPG3_5000_16390_16420.out,0.8478586628340965
KDD21/200_UCR_Anomaly_tiltAPB4_20000_67995_67996.out,0.0154259017648575
KDD21/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.out,0.9352103207553472
KDD21/209_UCR_Anomaly_Fantasia_19000_26970_27270.out,0.2816611231674645
KDD21/198_UCR_Anomaly_tiltAPB2_50000_124159_124985.out,0.3930311802483079
KDD21/144_UCR_Anomaly_InternalBleeding9_4200_6599_6681.out,0.5197837823619541
KDD21/238_UCR_Anomaly_mit14157longtermecg_21311_72600_72780.out,0.9656750388757898
KDD21/083_UCR_Anomaly_DISTORTEDresperation9_38000_143411_143511.out,0.4624205101103648
KDD21/030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.out,0.8897716651088262
KDD21/086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.out,0.9998673839170396
