,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47
2020-02-29.out.10,2.0,1.3588239,-1.0130927,-0.3515668,1.3587957,-1.0130948,-0.3515598,1.3588098,-1.0130927,-0.3515457,1.3588027,-1.0130927,-0.3515457,1.3587886,-1.0130941,-0.3515386,1.3587957,-1.0130941,-0.3515457,1.3587957,-1.0130941,-0.3515527,1.3587604,-1.0130948,-0.3515245,1.3587393,-1.0130948,-0.3515034,1.3587745,-1.0130934,-0.3515245,1.3587816,-1.0130905,-0.3515034,1.3587957,-1.0130912,-0.3515245,1.3587816,-1.0130891,-0.3514963,1.3587886,-1.0130912,-0.3515175,1.3587816,-1.0130919,-0.3515104,1.3587745,-1.0130919,-0.3515104
2020-02-29.out.11,2.0,1.3587816,-1.0130912,-0.3515104,1.3587957,-1.0130919,-0.3515316,1.3587886,-1.0130912,-0.3515175,1.3588168,-1.0130884,-0.3515175,1.3588168,-1.0130884,-0.3515175,1.3587957,-1.0130905,-0.3515175,1.3588239,-1.0130884,-0.3515245,1.3587957,-1.0130884,-0.3514963,1.3587957,-1.013087,-0.3514822,1.3587745,-1.0130884,-0.3514752,1.3587745,-1.0130891,-0.3514822,1.3587675,-1.0130927,-0.3515034,1.3587745,-1.0130955,-0.3515457,1.3587675,-1.0130976,-0.3515598,1.3587957,-1.013099,-0.351595,1.3587675,-1.0130997,-0.3515809
2020-02-29.out.12,2.0,1.3587957,-1.0130962,-0.3515668,1.3587886,-1.0130955,-0.3515598,1.3588309,-1.0130905,-0.3515527,1.3588521,-1.0130884,-0.3515527,1.3588027,-1.0130891,-0.3515104,1.3587886,-1.0130905,-0.3515104,1.3588027,-1.0130898,-0.3515175,1.3588168,-1.0130912,-0.3515457,1.3588168,-1.0130912,-0.3515457,1.3587534,-1.0130955,-0.3515245,1.3587816,-1.0130969,-0.3515668,1.3588098,-1.0130934,-0.3515598,1.3587886,-1.0130976,-0.3515809,1.3587745,-1.0130976,-0.3515668,1.3588027,-1.0130969,-0.3515809,1.3588239,-1.0130969,-0.3516021
2020-02-29.out.13,2.0,1.3587886,-1.0130955,-0.3515598,1.3588027,-1.0130955,-0.3515739,1.3587957,-1.0130955,-0.3515668,1.3588027,-1.0130955,-0.3515739,1.3588098,-1.0130934,-0.3515598,1.3588309,-1.0130912,-0.3515598,1.3587957,-1.0130912,-0.3515245,1.3588239,-1.0130898,-0.3515316,1.358845,-1.013087,-0.3515316,1.3588521,-1.0130884,-0.3515527,1.3587886,-1.0130898,-0.3515034,1.3587534,-1.0130948,-0.3515104,1.3587463,-1.0130955,-0.3515175,1.3587957,-1.0130934,-0.3515457,1.3587534,-1.0130948,-0.3515175,1.3587886,-1.0130927,-0.3515316
2020-02-29.out.14,2.0,1.3587534,-1.0130948,-0.3515104,1.3587745,-1.0130969,-0.3515527,1.3588098,-1.0130948,-0.3515668,1.3588168,-1.0130948,-0.3515739,1.3588168,-1.0130934,-0.3515668,1.3588239,-1.0130927,-0.3515598,1.3588309,-1.0130934,-0.3515809,1.3588098,-1.0130969,-0.351588,1.3588168,-1.0130927,-0.3515527,1.3587886,-1.0130962,-0.3515668,1.3587957,-1.0130955,-0.3515668,1.3587957,-1.0130948,-0.3515527,1.3588027,-1.0130948,-0.3515668,1.3588027,-1.0130948,-0.3515668,1.3588168,-1.0130912,-0.3515527,1.3587957,-1.0130934,-0.3515457
2020-02-29.out.15,2.0,1.3587886,-1.0130948,-0.3515457,1.3588239,-1.0130927,-0.3515668,1.3588098,-1.0130927,-0.3515527,1.3587886,-1.0130934,-0.3515316,1.3587886,-1.0130934,-0.3515386,1.3588027,-1.0130919,-0.3515386,1.3588168,-1.0130912,-0.3515457,1.3588239,-1.0130912,-0.3515598,1.3587816,-1.0130948,-0.3515386,1.3587886,-1.0130927,-0.3515245,1.3588098,-1.0130912,-0.3515386,1.3587886,-1.0130912,-0.3515175,1.3587886,-1.0130912,-0.3515245,1.3587886,-1.0130934,-0.3515386,1.3587957,-1.0130934,-0.3515457,1.3588027,-1.0130912,-0.3515316
2020-02-29.out.16,2.0,1.3588027,-1.0130912,-0.3515316,1.3587886,-1.0130912,-0.3515175,1.3587957,-1.0130905,-0.3515175,1.3587957,-1.0130905,-0.3515175,1.3587886,-1.0130912,-0.3515175,1.3588027,-1.0130905,-0.3515175,1.3588168,-1.0130884,-0.3515175,1.3588027,-1.0130891,-0.3515175,1.3587886,-1.0130905,-0.3515104,1.3588027,-1.0130891,-0.3515104,1.3588168,-1.0130891,-0.3515245,1.3588239,-1.013087,-0.3515104,1.3588168,-1.013087,-0.3515104,1.3588168,-1.013087,-0.3515034,1.3588239,-1.013087,-0.3515104,1.3588309,-1.0130863,-0.3515104
2020-02-29.out.17,2.0,1.3588168,-1.013087,-0.3515034,1.3587957,-1.0130891,-0.3515034,1.3588168,-1.0130884,-0.3515104,1.3587886,-1.0130884,-0.3514822,1.3588098,-1.0130884,-0.3515104,1.3587886,-1.013087,-0.3514822,1.3588027,-1.0130856,-0.3514822,1.3588168,-1.0130849,-0.3514822,1.3587957,-1.0130849,-0.3514682,1.3587957,-1.0130849,-0.3514611,1.3588098,-1.0130828,-0.3514541,1.3588027,-1.0130828,-0.3514541,1.3588168,-1.0130814,-0.3514541,1.3588098,-1.0130814,-0.351447,1.3588168,-1.0130807,-0.351447,1.3588239,-1.0130814,-0.3514611
2020-02-29.out.18,2.0,1.3588027,-1.0130814,-0.35144,1.3588239,-1.01308,-0.35144,1.3588027,-1.0130828,-0.3514541,1.3588098,-1.0130814,-0.351447,1.3588309,-1.0130807,-0.3514611,1.3588098,-1.0130814,-0.351447,1.3588309,-1.0130807,-0.3514541,1.358845,-1.0130786,-0.3514541,1.3588239,-1.0130786,-0.3514329,1.3588168,-1.0130786,-0.3514188,1.3588098,-1.01308,-0.3514329,1.3588098,-1.0130814,-0.351447,1.3588168,-1.0130807,-0.351447,1.3588168,-1.0130842,-0.3514752,1.3588098,-1.0130849,-0.3514822,1.3588027,-1.0130849,-0.3514752
2020-02-29.out.19,2.0,1.3588239,-1.0130828,-0.3514752,1.3588309,-1.0130828,-0.3514752,1.358845,-1.0130821,-0.3514822,1.3588168,-1.01308,-0.3514329,1.3588168,-1.0130807,-0.3514541,1.3587957,-1.0130807,-0.3514259,1.3587957,-1.01308,-0.3514118,1.3588098,-1.0130771,-0.3514118,1.3588168,-1.0130786,-0.3514259,1.3588591,-1.013075,-0.3514329,1.3588098,-1.01308,-0.3514259,1.3588168,-1.0130807,-0.35144,1.3588309,-1.0130814,-0.3514682,1.3587886,-1.0130849,-0.3514541,1.3588309,-1.0130807,-0.3514541,1.3588309,-1.0130807,-0.3514611
